Dec 30 01:16:28 raspberrypi systemd[1]: Created slice system-kmsconvt.slice - Slice /system/kmsconvt.
Dec 30 01:16:32 raspberrypi systemd[1]: Started kmsconvt@tty1.service - KMS System Console on tty1.
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_file_free [drm]] comm="kmscon", pid=661, dev=0xe200, open_count=1
Dec 30 01:16:38 raspberrypi kmscon[661]: [0000.000000] NOTICE: kmscon Revision v9.0.0 Jan 29 2023 19:19:17 (log_print_init() in ../src/shl_log.c:509)
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_file_free [drm]] comm="kmscon", pid=661, dev=0xe200, open_count=1
Dec 30 01:16:38 raspberrypi kmscon[661]: [0000.353835] NOTICE: vt: using tty /dev/tty1 (open_tty() in ../src/uterm_vt.c:285)
Dec 30 01:16:39 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=1
Dec 30 01:16:39 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:39 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:39 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_file_free [drm]] comm="kmscon", pid=661, dev=0xe201, open_count=1
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=1
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_DROP_MASTER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_GET_CAP
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_VERSION
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_file_free [drm]] comm="kmscon", pid=661, dev=0xe200, open_count=1
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_DROP_MASTER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_GET_CAP
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_SET_MASTER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_SET_MASTER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETENCODER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCRTC
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_CREATE_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_ADDFB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_MAP_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_CREATE_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_ADDFB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_MAP_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_SETCRTC
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
